algorithm,n,m,time,type
QuickSort,70548,100000,0.19998350000059872,Variazione n
QuickSort3Way,70548,100000,0.3479626999996981,Variazione n
RadixSort,70548,100000,0.1156183000002784,Variazione n
QuickSort,75646,100000,0.18820489999961865,Variazione n
QuickSort3Way,75646,100000,0.32833949999985634,Variazione n
RadixSort,75646,100000,0.06789209999988088,Variazione n
QuickSort,81113,100000,0.30962579999868467,Variazione n
QuickSort3Way,81113,100000,0.4076879000003828,Variazione n
RadixSort,81113,100000,0.09134929999891028,Variazione n
QuickSort,86974,100000,0.2522884999998496,Variazione n
QuickSort3Way,86974,100000,0.43453450000015437,Variazione n
RadixSort,86974,100000,0.06320659999983036,Variazione n
QuickSort,93260,100000,0.31537089999983436,Variazione n
QuickSort3Way,93260,100000,0.45631649999995716,Variazione n
RadixSort,93260,100000,0.08161620000100811,Variazione n
QuickSort,100000,100000,0.3264318000019557,Variazione n
QuickSort3Way,100000,100000,0.5800058000022545,Variazione n
RadixSort,100000,100000,0.17195400000127847,Variazione n
QuickSort,10000,10,0.7608492999988812,Variazione m
QuickSort3Way,10000,10,0.006541999999171821,Variazione m
CountingSort,10000,10,0.0015432999989570817,Variazione m
RadixSort,10000,10,0.0019094999988737982,Variazione m
QuickSort,10000,11,0.6127288999996381,Variazione m
QuickSort3Way,10000,11,0.001274700001886231,Variazione m
CountingSort,10000,11,0.004701300000306219,Variazione m
RadixSort,10000,11,-0.0001695000009931391,Variazione m
QuickSort,10000,12,0.6473254000011366,Variazione m
QuickSort3Way,10000,12,0.009520200001134071,Variazione m
CountingSort,10000,12,0.008111500001177774,Variazione m
RadixSort,10000,12,0.007089700000506127,Variazione m
QuickSort,10000,14,0.5546787999992375,Variazione m
QuickSort3Way,10000,14,0.012754100000165636,Variazione m
CountingSort,10000,14,0.008253699999841047,Variazione m
RadixSort,10000,14,0.008818599999358412,Variazione m
QuickSort,10000,15,0.4693136999994749,Variazione m
QuickSort3Way,10000,15,0.006172600000354578,Variazione m
CountingSort,10000,15,-0.0013304000003699912,Variazione m
RadixSort,10000,15,0.002813199998854543,Variazione m
QuickSort,10000,17,0.44789680000030785,Variazione m
QuickSort3Way,10000,17,0.01646910000090429,Variazione m
CountingSort,10000,17,0.00436210000225401,Variazione m
RadixSort,10000,17,0.0014043000010133255,Variazione m
QuickSort,10000,20,0.3539196000001539,Variazione m
QuickSort3Way,10000,20,0.0031018999998195795,Variazione m
CountingSort,10000,20,-0.0009540999999444466,Variazione m
RadixSort,10000,20,0.0032023000003391644,Variazione m
QuickSort,10000,22,0.29750889999922947,Variazione m
QuickSort3Way,10000,22,0.003121499998087529,Variazione m
CountingSort,10000,22,0.0041111999980785185,Variazione m
RadixSort,10000,22,0.004498399997828528,Variazione m
QuickSort,10000,25,0.3559811000013724,Variazione m
QuickSort3Way,10000,25,0.0050241999997524545,Variazione m
CountingSort,10000,25,0.0015419000010297168,Variazione m
RadixSort,10000,25,0.0023007000017969403,Variazione m
QuickSort,10000,28,0.279588600002171,Variazione m
QuickSort3Way,10000,28,0.016405700001996593,Variazione m
CountingSort,10000,28,0.009221199999956298,Variazione m
RadixSort,10000,28,0.008883600001354353,Variazione m
QuickSort,10000,31,0.22110190000057628,Variazione m
QuickSort3Way,10000,31,0.012113100001442945,Variazione m
CountingSort,10000,31,0.0038442000004579313,Variazione m
RadixSort,10000,31,0.0026947000005748123,Variazione m
QuickSort,10000,35,0.18105189999914728,Variazione m
QuickSort3Way,10000,35,0.006240899998374516,Variazione m
CountingSort,10000,35,0.008353699999133823,Variazione m
RadixSort,10000,35,0.008805599998595426,Variazione m
QuickSort,10000,40,0.2052616000019043,Variazione m
QuickSort3Way,10000,40,0.011166599999341997,Variazione m
CountingSort,10000,40,0.003608900000472204,Variazione m
RadixSort,10000,40,0.0029196000014053425,Variazione m
QuickSort,10000,45,0.15175389999967592,Variazione m
QuickSort3Way,10000,45,0.017906099999891012,Variazione m
CountingSort,10000,45,0.008147700000336044,Variazione m
RadixSort,10000,45,0.009083699998882366,Variazione m
QuickSort,10000,50,0.1458201999994344,Variazione m
QuickSort3Way,10000,50,0.016547400000490597,Variazione m
CountingSort,10000,50,0.0026567999993858393,Variazione m
RadixSort,10000,50,0.0031459000001632376,Variazione m
QuickSort,10000,57,0.12026700000023993,Variazione m
QuickSort3Way,10000,57,0.007073999999192893,Variazione m
CountingSort,10000,57,-0.0020249000008334406,Variazione m
RadixSort,10000,57,-0.0025615000013203826,Variazione m
QuickSort,10000,64,0.08410510000067006,Variazione m
QuickSort3Way,10000,64,0.0070601999996142695,Variazione m
CountingSort,10000,64,0.001513600000180304,Variazione m
RadixSort,10000,64,0.0016018999995139893,Variazione m
QuickSort,10000,72,0.1163527000007889,Variazione m
QuickSort3Way,10000,72,0.0211873000007472,Variazione m
CountingSort,10000,72,0.008613600000899169,Variazione m
RadixSort,10000,72,0.008526900001015747,Variazione m
QuickSort,10000,81,0.10184629999821482,Variazione m
QuickSort3Way,10000,81,0.014677199998914148,Variazione m
CountingSort,10000,81,0.0014567999987775693,Variazione m
RadixSort,10000,81,0.0073045999979513,Variazione m
QuickSort,10000,91,0.08037220000187517,Variazione m
QuickSort3Way,10000,91,0.008861300000717165,Variazione m
CountingSort,10000,91,0.00809300000037183,Variazione m
RadixSort,10000,91,0.008548600000722217,Variazione m
QuickSort,10000,102,0.07114440000077593,Variazione m
QuickSort3Way,10000,102,0.006235700000615907,Variazione m
CountingSort,10000,102,-0.0011554999982763547,Variazione m
RadixSort,10000,102,0.005615900001430418,Variazione m
QuickSort,10000,114,0.05410610000035376,Variazione m
QuickSort3Way,10000,114,0.02459420000195678,Variazione m
CountingSort,10000,114,0.00795769999967888,Variazione m
RadixSort,10000,114,0.010823100001289276,Variazione m
QuickSort,10000,129,0.05981510000128765,Variazione m
QuickSort3Way,10000,129,0.009862099999736529,Variazione m
CountingSort,10000,129,0.005669000000125379,Variazione m
RadixSort,10000,129,0.002207399998951587,Variazione m
QuickSort,10000,145,0.0640373999995063,Variazione m
QuickSort3Way,10000,145,0.016937200000029407,Variazione m
CountingSort,10000,145,-0.0022628999995504273,Variazione m
RadixSort,10000,145,0.006544800000483519,Variazione m
QuickSort,10000,162,0.041352700000061304,Variazione m
QuickSort3Way,10000,162,0.018218000002889312,Variazione m
CountingSort,10000,162,0.0018748000020423206,Variazione m
RadixSort,10000,162,0.002659800002220436,Variazione m
QuickSort,10000,183,0.07596860000012384,Variazione m
QuickSort3Way,10000,183,0.025425300000279094,Variazione m
CountingSort,10000,183,0.007763100000374834,Variazione m
RadixSort,10000,183,0.007843600000342121,Variazione m
QuickSort,10000,205,0.03365829999893322,Variazione m
QuickSort3Way,10000,205,0.015054600000439677,Variazione m
CountingSort,10000,205,0.0014787000000069384,Variazione m
RadixSort,10000,205,0.0029569999987870688,Variazione m
QuickSort,10000,231,0.05957949999901757,Variazione m
QuickSort3Way,10000,231,0.025454799999351962,Variazione m
CountingSort,10000,231,0.00832059999811463,Variazione m
RadixSort,10000,231,0.010612899999614456,Variazione m
QuickSort,10000,259,0.028945099998963997,Variazione m
